Solar Irradiance (kWh/m²),Average Temperature (°C),Wind Speed (m/s),Humidity (%),Cloud Cover (%),Atmospheric Pressure (hPa),Daily Sunshine Duration (hours),Panel Orientation (degrees),System Efficiency (%),Type of Renewable System,Energy Consumption Category
3.745401188,-0.743353558,3.925585256,70.54326948,57.19958783,989.363552,7.779083449,13.9678037,74.82411316,Solar,1
9.507143064,17.09504737,3.704681986,81.70132575,80.54323293,997.3435659,2.068636345,67.23811016,71.8554704,Wind,2
7.319939418,33.64729179,13.59381871,32.54211089,76.01609298,1035.454739,10.46873476,299.2484898,18.61787788,Solar,1
5.986584842,26.61124432,3.743192998,66.23866896,15.38999047,984.0004386,7.357394869,276.0366083,93.03151644,Wind,2
1.560186404,30.32805739,4.079245892,61.45713848,14.92494697,1036.964968,1.886446603,126.2313689,61.16249819,Solar,1
1.559945203,22.93916834,11.39097394,84.95473391,26.81743677,958.8134431,11.54805669,135.651826,42.7352969,Solar,1
0.580836122,24.61382823,6.746097637,91.54783544,36.10747263,1027.679844,6.22038556,192.0795961,78.08847251,Solar,0
8.661761458,32.45978258,11.65065835,11.09410943,40.84555814,1034.754763,0.874781422,0.086761687,33.16289126,Solar,2
6.011150117,2.483400443,0.980492363,70.66179272,67.96972168,968.1817653,7.521994853,86.84796097,72.41588533,Wind,0
7.080725778,14.47124818,7.313567905,14.66522192,5.668043217,993.0346532,3.038386884,74.9634511,13.57400868,Wind,0
0.205844943,1.060472091,0.504204003,59.39727986,3.467270423,966.5499775,9.644321423,90.17386083,85.54672338,Solar,1
9.699098522,39.3834004,0.939798052,35.88694561,39.19105629,1020.660413,9.813864883,290.1261033,50.33537623,Wind,1
8.324426408,37.20296698,13.5965618,37.60989396,69.71636921,1003.534777,11.74736827,100.6825884,67.30236229,Solar,0
2.123391107,-8.028659432,2.088680567,41.76626531,19.3435343,1013.532335,6.022434372,68.94767594,29.91140378,Solar,2
1.818249672,25.27875863,7.986310234,65.91632041,64.15044813,969.6486967,5.459482557,181.5348459,70.93663414,Wind,2
1.834045099,36.26241587,6.166434039,40.06449691,25.98281379,971.1745862,9.041707265,311.6322131,79.50162483,Solar,0
3.04242243,-0.971232744,5.210149894,75.94291455,88.60861088,954.1497326,1.589647876,86.88589338,52.58918682,Solar,1
5.247564316,18.39726153,13.49750019,46.4074647,89.56899443,982.2067535,6.562986166,28.27304741,65.59542317,Solar,2
4.319450186,35.77441488,0.327350952,16.15178803,29.72872043,1005.974466,6.554971202,128.3057049,51.06933314,Solar,1
2.912291402,-8.302701071,9.956845293,80.53838582,22.9993754,1035.793491,1.073677474,269.1546568,90.46822323,Solar,1
6.118528947,24.87101336,14.45091651,35.71824921,41.13039721,1016.692745,5.015809026,198.2485961,54.80822625,Wind,1
1.394938607,4.867450369,8.402522752,48.94901916,24.05315852,993.5396323,10.23941758,294.045613,85.76278381,Wind,2
2.921446485,36.21980977,14.05233693,71.68994949,67.23838433,1045.312011,10.27384346,345.4531731,82.12168524,Wind,2
3.663618433,38.55291226,0.783868189,39.92105414,82.60646845,1021.92452,1.190851979,285.3584916,46.94543392,Solar,2
4.560699842,37.21332446,6.281899786,15.09270905,67.30921309,1043.01652,1.088650593,217.3691084,30.70760427,Solar,0
7.851759614,13.71071083,3.902366864,43.65289423,82.43504472,1002.758797,3.152345724,177.6029717,46.54739193,Solar,1
1.996737822,33.10213255,10.96231447,95.00037244,39.69921622,975.8904275,10.49719275,14.42487109,84.35956382,Solar,2
5.142344384,32.22746993,14.71945636,67.75609576,15.63169707,955.2826686,1.546831021,354.3559124,30.48692822,Solar,0
5.924145689,5.955023662,3.847950937,70.43312338,73.79509474,1022.608485,8.639961632,138.0532041,57.19927113,Solar,2
0.464504127,31.44577371,9.812619022,66.90539383,36.04745051,962.1302998,1.213987435,54.80215701,82.54870732,Wind,2
6.075448519,-8.149618264,2.971464491,27.90929251,67.12708252,980.2775128,7.477654245,240.0151879,41.81297276,Solar,0
1.705241237,19.81349392,8.479953819,47.65004777,27.0643942,1003.247091,4.272807589,102.3437841,67.79886733,Wind,2
0.65051593,1.500441864,6.9589873,77.58458185,8.122963481,1006.441659,9.466967556,210.8801775,32.10684166,Solar,1
9.488855373,-3.971655711,14.58007994,19.12356078,99.25817955,1010.05832,2.804285386,211.2364468,19.83515008,Wind,2
9.656320331,-6.152339919,9.12790909,35.00674985,15.62015079,966.625533,7.670421953,160.4627355,81.49458026,Solar,1
8.083973481,24.81443879,5.242595581,34.86871976,98.8420994,987.9737405,2.828190415,301.0027016,18.90717611,Wind,1
3.046137692,6.993748188,1.711436773,48.88170348,97.72799326,1011.719423,8.563923397,95.38814216,34.42432556,Wind,2
0.97672114,26.23833858,2.268702431,98.23318668,79.38181039,1046.981886,10.48413641,161.507733,86.95984798,Solar,2
6.842330265,-6.73218296,3.379753949,16.0752292,65.94229621,1022.763114,1.52162159,193.5691663,41.18223584,Solar,0
4.401524937,5.764516892,3.76449992,56.68308949,57.78070503,1042.260376,10.39914826,238.9048995,97.57408146,Wind,1
1.220382348,16.97456462,12.75924087,26.14282138,86.61015454,1026.221206,7.122903053,282.2298662,98.17609013,Solar,0
4.951769101,29.53615824,8.418341824,97.36088909,28.94395216,1009.171697,1.52532589,142.1306218,34.14484184,Solar,1
0.343885211,5.937625147,7.850863671,20.19731543,46.76812125,969.2023369,5.130502264,232.5768999,13.68804,Solar,1
9.093204021,21.29456882,1.721533078,46.32409021,61.93899694,1016.668565,1.930323522,54.2199431,73.45569558,Wind,1
2.587799816,34.29888741,12.9020954,76.40964864,41.11904759,1012.337957,8.404174666,335.7533162,50.58878524,Solar,1
6.625222844,20.79315941,10.84221455,73.40989852,42.74864541,1010.246917,9.106417613,137.9011703,19.06775596,Wind,0
3.117110761,1.647973738,1.015025429,48.04557732,33.02846675,998.9785868,1.269558243,262.6277119,73.67705371,Wind,0
5.200680212,-8.779960922,10.61752646,41.18717512,56.42318167,1002.86566,6.073678232,7.322789478,12.80574182,Solar,0
5.467102793,33.5049437,8.15307326,45.78511407,85.0574528,983.4442527,9.775500672,73.86737145,88.31770214,Wind,1
1.848544555,-8.936529457,1.225880186,33.78486368,20.1528378,1001.931269,11.2339565,175.349716,22.47872762,Solar,2
9.695846278,33.73508363,6.874509623,28.47996448,93.44330388,969.7555906,6.162214401,316.1708884,21.45806909,Solar,0
7.751328234,16.4468567,7.270444307,53.47357278,68.90876537,1030.51744,11.40335068,189.811854,25.81050682,Wind,2
9.394989416,36.95338493,2.486618102,34.16803805,82.32732127,968.5776955,6.428267645,334.7533736,96.42397226,Wind,2
8.948273504,29.93916179,14.18547221,35.87154984,55.61906926,958.496629,4.730285935,174.1668828,72.38524242,Wind,2
5.978999788,39.89670553,12.74963057,69.10804571,77.95167014,993.6246026,10.17843754,176.5616748,82.12343819,Wind,2
9.21874235,7.535590773,10.03533506,97.16835985,1.620039734,1015.830744,5.915792525,43.10884386,45.78714872,Wind,2
0.884925021,28.35941445,6.934433415,64.32734805,81.83804248,993.7716825,5.662830127,288.9562479,40.26814548,Solar,0
1.959828624,10.09654568,6.176483124,16.92815204,4.013885909,977.6754132,5.883749873,88.90754849,31.10356061,Wind,1
0.452272889,13.99378102,9.764602007,16.80252525,88.99133764,1005.817118,10.16142002,323.8604962,53.25832255,Solar,2
3.253303308,21.37527316,8.181478041,95.62808988,99.19627472,984.7002335,9.9832985,327.8967193,59.66458602,Solar,1
